Data Fields,Particulars,Where we get Information in Prospectus,Heading,Sub- Heading,Answer
Investment Strategy,Active /Passive,Summary,Principal Risks of Investing in the Trust,Passive Strategy/Index Risk,"The document does not contain a summary, so the investment strategy (active/passive) cannot be determined."
Leverage Policy,borrow money and then make investments,ADDITIONAL INFORMATION REGARDING DIVIDENDS AND DISTRIBUTIONS,investment restrcitions,,This document does not contain the answer to the question.
Use of Derivatives,Investment in derivatives is allowed or not,ADDITIONAL INFORMATION REGARDING DIVIDENDS AND DISTRIBUTIONS,investment restrcitions,,Investment in derivatives is allowed.
Initial/Minimum Investment,For operations to start the initial no. of units required,Financial Highlights,Notes to Financial statements,Note1 - Organisation,"I am sorry, but I cannot locate the answer to the question about the number of units required for operations to start based on the text provided. The text does not contain information about initial or minimum investment amounts or unit requirements for the fund's operation."
Transfer Agent Details,party who will account for all the transaction of the fund,Federal Income Taxes,Federal Income Taxes,Transactions with Affiliates of the Trustee and Sponsor,"I am sorry, but I cannot locate the transfer agent details using the provided document content, as the relevant section (""Federal Income Taxes"") is not included."
Subscription / Redemption Rules,Subscription and redemption rules ,PURCHASES AND REDEMPTIONS OF CREATION UNITS,"Purchase (Creation) and Redemption 
",,"This document does not contain the requested information about ""Purchases and Redemptions of Creation Units""."
Load Fees,Fees bourne by investors while purchasing the units,Summary,Fees and Expenses of the Trust,,This document does not contain information about load fees.
Regulatory Authority,REgulatory reporting of the fund,EXCHANGE LISTING AND TRADING,EXCHANGE LISTING AND TRADING,CONTINUOUS OFFERING OF UNITS,"The U.S. government, the European Union (“E.U.”), the United Kingdom (the “U.K.”) and some other countries are regulatory authorities for the fund."
Investment Restrictions,Certain investment restrictions / not authorized to invest ,Additional  information regarding  dividend and distributions,Additional  information regarding  dividend and distributions,Investment restrictions,Certain investment restrictions may be limited by the Fund’s intention to qualify as a regulated investment company under the Internal Revenue Code of 1986.
Taxation Authority,fund will comply to which taxation authority,Federal Income Taxes,Federal Income Taxes,Taxation of the Trust,The fund will comply with the Internal Revenue Code of 1986.
Risk Limits,any kind concentration limits or restrcitions,ADDITIONAL INFORMATION REGARDING DIVIDENDS AND DISTRIBUTIONS,investment restrcitions,,The document does not contain information about concentration limits or restrictions in the section indicated.
Performance Reporting,which reporting standard would fund ,Financial Highlights,Notes to Financial statements,Note 2 â€” Summary of Significant Accounting Policies,"The document does not explicitly mention which reporting standard the fund would use for performance reporting, but refers to ""Financial Highlights""."
